Player,Nation,Pos,Squad,MP,Starts,Min,Gls,Ast,G+A,Goal Contributions Per 90
Brenden Aaronson,us USA,"MF,FW",Leeds United,37,30,"2,449",4,5,9,0.330747244
Jerome Abbey,eng ENG,MF,Wolves,1,0,17,0,0,0,0
Zach Abbott,eng ENG,DF,Nottingham,3,2,164,0,0,0,0
Tammy Abraham,eng ENG,FW,Aston Villa,12,2,286,2,0,2,0.629370629
Joshua Acheampong,eng ENG,DF,Chelsea,17,8,666,1,0,1,0.135135135
Tyler Adams,us USA,MF,Bournemouth,25,21,"1,772",2,2,4,0.203160271
Tosin Adarabioyo,eng ENG,DF,Chelsea,16,8,795,0,0,0,0
Simon Adingra,ci CIV,"MF,FW",Sunderland,14,9,653,1,0,1,0.137825421
Amine Adli,ma MAR,MF,Bournemouth,31,10,"1,094",3,1,4,0.329067642
Emmanuel Agbadou,ci CIV,DF,Wolves,14,12,"1,101",0,0,0,0
Nayef Aguerd,ma MAR,DF,West Ham,2,2,180,0,0,0,0
Ola Aina,ng NGA,DF,Nottingham,18,18,"1,588",0,0,0,0
Rayan Aït-Nouri,dz ALG,DF,Manchester City,17,12,974,0,2,2,0.184804928
Kristoffer Ajer,no NOR,DF,Brentford,27,20,"1,810",0,1,1,0.049723757
Nathan Aké,nl NED,DF,Manchester City,18,6,695,0,0,0,0
Carlos Alcaraz,ar ARG,MF,Everton,20,6,689,0,1,1,0.130624093
Omar Alderete,py PAR,DF,Sunderland,33,32,"2,798",1,1,2,0.064331665
Alisson,br BRA,GK,Liverpool,26,26,"2,340",0,0,0,0
Max Alleyne,eng ENG,DF,Manchester City,2,2,135,0,0,0,0
Jaydon Amauri Banel,nl NED,"FW,MF",Burnley,1,0,10,0,0,0,0
Zeki Amdouni,ch SUI,"FW,MF",Burnley,4,0,73,0,0,0,0
Ethan Ampadu,wls WAL,MF,Leeds United,35,35,"3,119",1,1,2,0.057710805
Joachim Andersen,dk DEN,DF,Fulham,33,33,"2,875",0,1,1,0.031304348
Elliot Anderson,eng ENG,MF,Nottingham,38,37,"3,331",4,4,8,0.216151306
André,br BRA,MF,Wolves,35,30,"2,762",1,0,1,0.032585083
Nilson Angulo,ec ECU,MF,Sunderland,8,5,404,0,0,0,0
Jaidon Anthony,eng ENG,MF,Burnley,37,32,"2,722",8,2,10,0.330639236
Alphonse Areola,fr FRA,GK,West Ham,20,20,"1,800",0,1,1,0.05
Jhon Arias,co COL,"FW,MF",Wolves,23,14,"1,124",1,0,1,0.080071174
Adam Armstrong,eng ENG,"FW,MF",Wolves,14,14,"1,140",2,2,4,0.315789474
Harrison Armstrong,eng ENG,MF,Everton,13,6,529,0,0,0,0
Tolu Arokodare,ng NGA,FW,Wolves,33,13,"1,419",3,1,4,0.253699789
Kepa Arrizabalaga,es ESP,GK,Arsenal,1,1,90,0,0,0,0
Taiwo Awoniyi,ng NGA,FW,Nottingham,17,3,494,4,1,5,0.910931174
Yasin Ayari,se SWE,MF,Brighton,29,20,"1,929",3,3,6,0.279937792
Benoît Badiashile,fr FRA,DF,Chelsea,8,6,471,0,0,0,0
Leon Bailey,jm JAM,MF,Aston Villa,13,3,459,0,1,1,0.196078431
Dilane Bakwa,fr FRA,MF,Nottingham,14,6,553,0,2,2,0.325497288
Carlos Baleba,cm CMR,MF,Brighton,31,23,"1,652",0,0,0,0
Daniel Ballard,nir NIR,DF,Sunderland,29,24,"2,149",2,0,2,0.083759888
Ross Barkley,eng ENG,MF,Aston Villa,21,7,857,3,1,4,0.420070012
Ashley Barnes,eng ENG,"FW,MF",Burnley,7,0,46,0,0,0,0
Harvey Barnes,eng ENG,"FW,MF",Newcastle,37,19,"1,966",7,1,8,0.366225839
Thierno Barry,fr FRA,FW,Everton,38,21,"1,914",8,0,8,0.376175549
Calvin Bassey,ng NGA,DF,Fulham,30,28,"2,534",1,0,1,0.035516969
Altay Bayındır,tr TUR,GK,Manchester Utd,6,6,540,0,0,0,0
Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,15,"1,248",1,1,2,0.144230769
Walter Benítez,ar ARG,GK,Crystal Palace,1,1,90,0,0,0,0
Rodrigo Bentancur,uy URU,MF,Tottenham,26,23,"1,883",1,1,2,0.09559214
Daniel Bentley,eng ENG,GK,Wolves,3,3,270,0,0,0,0
Sander Berge,no NOR,MF,Fulham,35,34,"2,905",0,1,1,0.030981067
Lucas Bergvall,se SWE,MF,Tottenham,23,11,965,1,3,4,0.373056995
Beto,gw GNB,FW,Everton,37,17,"1,568",9,1,10,0.573979592
Jaka Bijol,si SVN,DF,Leeds United,25,21,"1,890",1,2,3,0.142857143
Yves Bissouma,ml MLI,MF,Tottenham,11,7,603,0,0,0,0
Marco Bizot,nl NED,GK,Aston Villa,7,6,585,0,0,0,0
Oscar Bobb,no NOR,"MF,FW",Manchester City,9,5,468,0,1,1,0.192307692
Oscar Bobb,no NOR,MF,Fulham,14,6,571,0,0,0,0
Lamare Bogarde,nl NED,"MF,DF",Aston Villa,28,11,"1,053",0,0,0,0
Jayden Bogle,eng ENG,"MF,DF",Leeds United,34,32,"2,793",1,2,3,0.096670247
Sebastiaan Bornauw,be BEL,DF,Leeds United,12,5,429,0,0,0,0
Olivier Boscagli,fr FRA,DF,Brighton,12,9,802,0,1,1,0.112219451
Sven Botman,nl NED,DF,Newcastle,25,21,"1,835",1,1,2,0.098092643
Jarrod Bowen,eng ENG,"MF,FW",West Ham,38,38,"3,403",9,11,20,0.528945048
Conor Bradley,nir NIR,DF,Liverpool,15,12,929,0,1,1,0.096878364
Jarrad Branthwaite,eng ENG,DF,Everton,10,7,680,1,0,1,0.132352941
Brian Brobbey,nl NED,FW,Sunderland,31,22,"1,927",7,1,8,0.373637779
Armando Broja,al ALB,FW,Burnley,24,8,860,1,1,2,0.209302326
David Brooks,wls WAL,MF,Bournemouth,31,13,"1,204",1,3,4,0.299003322
Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,28,10,"1,030",0,1,1,0.087378641
Emi Buendía,ar ARG,MF,Aston Villa,36,21,"1,755",6,2,8,0.41025641
Hugo Bueno,es ESP,"MF,DF",Wolves,35,26,"2,366",1,2,3,0.114116653
Santiago Bueno,uy URU,DF,Wolves,29,28,"2,553",3,1,4,0.141010576
Facundo Buonanotte,ar ARG,MF,Chelsea,1,1,45,0,0,0,0
Facundo Buonanotte,ar ARG,MF,Leeds United,3,0,39,0,0,0,0
Dan Burn,eng ENG,DF,Newcastle,29,25,"2,199",1,2,3,0.122783083
Bradley Burrowes,eng ENG,MF,Aston Villa,1,0,17,0,0,0,0
Jun'ai Byfield,eng ENG,DF,Tottenham,1,0,1,0,0,0,0
Sam Byram,eng ENG,"DF,MF",Leeds United,2,0,9,0,0,0,0
Moisés Caicedo,ec ECU,MF,Chelsea,33,32,"2,795",3,1,4,0.128801431
Tom Cairney,sct SCO,MF,Fulham,24,6,775,2,0,2,0.232258065
Riccardo Calafiori,it ITA,DF,Arsenal,26,22,"1,699",1,2,3,0.15891701
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,35,30,"2,721",14,1,15,0.496141125
Jaydee Canvot,fr FRA,DF,Crystal Palace,20,14,"1,336",0,0,0,0
Rio Cardines,tt TRI,MF,Crystal Palace,1,1,90,0,0,0,0
Fabio Carvalho,pt POR,MF,Brentford,6,1,102,1,0,1,0.882352941
Casemiro,br BRA,MF,Manchester Utd,34,33,"2,571",9,2,11,0.385064177
Matty Cash,pl POL,DF,Aston Villa,35,34,"3,014",3,3,6,0.179163902
Timothy Castagne,be BEL,"DF,MF",Fulham,30,20,"1,845",0,0,0,0
Valentín Castellanos,ar ARG,FW,West Ham,18,17,"1,384",6,0,6,0.39017341
Trevoh Chalobah,eng ENG,DF,Chelsea,34,31,"2,783",3,0,3,0.097017607
Rayan Cherki,fr FRA,MF,Manchester City,33,19,"1,786",4,12,16,0.806270997
Federico Chiesa,it ITA,MF,Liverpool,26,1,339,2,1,3,0.796460177
Tawanda Chirewa,zw ZIM,MF,Wolves,2,0,27,0,0,0,0
Ryan Christie,sct SCO,MF,Bournemouth,26,9,994,2,0,2,0.181086519
Samuel Chukwueze,ng NGA,MF,Fulham,23,10,"1,079",3,4,7,0.583873957
Dennis Cirkin,lv LVA,DF,Sunderland,8,3,323,0,0,0,0
Nathaniel Clyne,eng ENG,"MF,DF",Crystal Palace,10,7,594,0,1,1,0.151515152
Séamus Coleman,ie IRL,DF,Everton,5,1,21,0,0,0,0
Nathan Collins,ie IRL,DF,Brentford,35,32,"2,975",1,2,3,0.090756303
Levi Colwill,eng ENG,DF,Chelsea,3,2,225,0,0,0,0
Lewis Cook,eng ENG,"MF,DF",Bournemouth,18,8,874,0,1,1,0.102974828
Diego Coppola,it ITA,DF,Brighton,5,2,194,0,0,0,0
Marc Cucurella,es ESP,DF,Chelsea,34,31,"2,707",1,4,5,0.166235685
Jorge Cuenca,es ESP,DF,Fulham,15,11,938,0,0,0,0
Josh Cullen,ie IRL,MF,Burnley,18,18,"1,514",2,2,4,0.237780713
Jair Cunha,br BRA,DF,Nottingham,9,6,517,0,0,0,0
Matheus Cunha,br BRA,"MF,FW",Manchester Utd,33,29,"2,494",10,2,12,0.433039294
Diogo Dalot,pt POR,"DF,MF",Manchester Utd,34,29,"2,614",1,3,4,0.137719969
Mikkel Damsgaard,dk DEN,MF,Brentford,33,24,"2,054",4,4,8,0.35053554
Kevin Danso,at AUT,DF,Tottenham,24,17,"1,494",0,0,0,0
Karl Darlow,wls WAL,GK,Leeds United,22,22,"1,980",0,0,0,0
Josh Dasilva,eng ENG,MF,Brentford,2,0,3,0,0,0,0
Ben Davies,wls WAL,DF,Tottenham,3,2,137,1,0,1,0.656934307
Maxim De Cuyper,be BEL,"DF,MF",Brighton,30,17,"1,414",2,3,5,0.31824611
Liam Delap,eng ENG,FW,Chelsea,28,12,"1,107",1,0,1,0.081300813
Sepp van den Berg,nl NED,DF,Brentford,32,30,"2,763",0,2,2,0.06514658
Jesse Derry,eng ENG,MF,Chelsea,1,1,44,0,0,0,0
Justin Devenny,nir NIR,"MF,FW",Crystal Palace,21,7,796,1,0,1,0.113065327
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,31,30,"2,626",8,4,12,0.411271896
Bafodé Diakité,fr FRA,DF,Bournemouth,18,15,"1,277",0,0,0,0
Amad Diallo,ci CIV,MF,Manchester Utd,32,27,"2,341",2,3,5,0.192225545
Habib Diarra,sn SEN,MF,Sunderland,20,15,"1,405",2,2,4,0.256227758
Rúben Dias,pt POR,DF,Manchester City,26,24,"2,141",2,0,2,0.084072863
Tyler Dibling,eng ENG,MF,Everton,14,4,358,0,0,0,0
Lucas Digne,fr FRA,DF,Aston Villa,31,21,"1,852",0,6,6,0.291576674
Issa Diop,ma MAR,DF,Fulham,13,8,816,1,0,1,0.110294118
El Hadji Malick Diouf,sn SEN,"DF,MF",West Ham,32,30,"2,707",0,5,5,0.166235685
Axel Disasi,fr FRA,DF,West Ham,14,14,"1,254",0,0,0,0
Matt Doherty,ie IRL,"DF,MF",Wolves,11,11,787,0,0,0,0
Jeremy Doku,be BEL,"MF,FW",Manchester City,30,19,"1,784",5,5,10,0.504484305
Nicolás Domínguez,ar ARG,MF,Nottingham,27,17,"1,175",1,1,2,0.153191489
Gianluigi Donnarumma,it ITA,GK,Manchester City,34,34,"3,060",0,0,0,0
Romelle Donovan,eng ENG,FW,Brentford,4,0,41,0,0,0,0
Patrick Dorgu,dk DEN,MF,Manchester Utd,26,15,"1,449",4,4,8,0.49689441
Max Dowman,eng ENG,MF,Arsenal,6,1,157,1,0,1,0.573248408
Radu Drăgușin,ro ROU,DF,Tottenham,10,5,517,0,0,0,0
Joél Drakes-Thomas,eng ENG,MF,Crystal Palace,2,0,9,0,0,0,0
Martin Dúbravka,sk SVK,GK,Burnley,35,35,"3,150",0,0,0,0
Lewis Dunk,eng ENG,DF,Brighton,33,31,"2,838",1,0,1,0.031712474
George Earthy,eng ENG,MF,West Ham,1,0,9,0,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,1,0,3,0,0,0,0
Tom Edozie,eng ENG,MF,Wolves,3,0,14,1,0,1,6.428571429
Alysson Edward,br BRA,MF,Aston Villa,3,0,49,0,0,0,0
Marcus Edwards,eng ENG,"MF,FW",Burnley,23,11,"1,067",1,3,4,0.337394564
Hjalmar Ekdal,se SWE,DF,Burnley,19,17,"1,539",0,0,0,0
Hugo Ekitike,fr FRA,FW,Liverpool,28,21,"1,803",11,4,15,0.74875208
Anthony Elanga,se SWE,"FW,MF",Newcastle,32,14,"1,319",0,1,1,0.06823351
Melker Ellborg,se SWE,GK,Sunderland,3,3,270,0,0,0,0
Harvey Elliott,eng ENG,MF,Aston Villa,4,1,112,0,0,0,0
Harvey Elliott,eng ENG,"FW,MF",Liverpool,1,0,1,0,0,0,0
Wataru Endo,jp JPN,DF,Liverpool,8,1,175,0,1,1,0.514285714
Romain Esse,eng ENG,MF,Crystal Palace,4,0,44,0,0,0,0
Dario Essugo,pt POR,MF,Chelsea,3,0,30,0,0,0,0
Maxime Estève,fr FRA,DF,Burnley,34,34,"2,932",0,0,0,0
Evanilson,br BRA,FW,Bournemouth,36,32,"2,742",6,1,7,0.2297593
Eberechi Eze,eng ENG,MF,Crystal Palace,1,1,83,0,0,0,0
Eberechi Eze,eng ENG,"MF,FW",Arsenal,32,21,"1,812",7,2,9,0.447019868
Bruno Fernandes,pt POR,MF,Manchester Utd,35,35,"3,063",9,21,30,0.881488737
Mateus Fernandes,pt POR,MF,West Ham,36,35,"3,016",3,4,7,0.208885942
Enzo Fernández,ar ARG,MF,Chelsea,36,35,"3,115",10,4,14,0.404494382
Zian Flemming,nl NED,FW,Burnley,29,21,"1,769",11,0,11,0.559638214
Jack Fletcher,eng ENG,MF,Manchester Utd,3,0,108,0,0,0,0
Tyler Fletcher,sct SCO,MF,Manchester Utd,2,0,18,0,0,0,0
Phil Foden,eng ENG,MF,Manchester City,33,23,"2,086",7,5,12,0.517737296
Wesley Fofana,fr FRA,DF,Chelsea,25,20,"1,722",0,1,1,0.052264808
Lyle Foster,za RSA,"FW,MF",Burnley,26,15,"1,371",3,2,5,0.328227571
Tyler Fredricson,eng ENG,DF,Manchester Utd,1,0,3,0,0,0,0
Jeremie Frimpong,nl NED,"DF,MF",Liverpool,21,12,"1,040",0,1,1,0.086538462
Niclas Füllkrug,de GER,FW,West Ham,8,5,409,0,0,0,0
Kaye Furo,be BEL,FW,Brentford,1,0,1,0,0,0,0
Cody Gakpo,nl NED,"MF,FW",Liverpool,36,32,"2,737",7,5,12,0.39459262
Conor Gallagher,eng ENG,MF,Tottenham,16,14,"1,184",1,1,2,0.152027027
Ben Gannon-Doak,sct SCO,MF,Bournemouth,8,0,113,0,1,1,0.796460177
Andrés García,es ESP,DF,Aston Villa,6,1,86,0,0,0,0
Alejandro Garnacho,ar ARG,MF,Chelsea,24,14,"1,268",1,4,5,0.35488959
James Garner,eng ENG,"MF,DF",Everton,38,38,"3,413",2,7,9,0.237327864
Lutsharel Geertruida,nl NED,"DF,MF",Sunderland,28,17,"1,693",0,0,0,0
Tyrique George,eng ENG,FW,Chelsea,4,0,145,0,0,0,0
Tyrique George,eng ENG,MF,Everton,11,1,218,0,0,0,0
Morgan Gibbs-White,eng ENG,MF,Nottingham,37,35,"3,097",15,4,19,0.552147239
Jamie Gittens,eng ENG,MF,Chelsea,16,5,495,0,2,2,0.363636364
Wilfried Gnonto,it ITA,FW,Leeds United,23,4,537,0,1,1,0.167597765
Angel Gomes,eng ENG,"MF,FW",Wolves,12,7,461,0,0,0,0
João Gomes,br BRA,MF,Wolves,35,32,"2,829",1,1,2,0.063626723
Rodrigo Gomes,pt POR,"MF,FW",Wolves,22,9,960,3,0,3,0.28125
Toti Gomes,pt POR,DF,Wolves,19,17,"1,424",0,0,0,0
Diego Gómez,py PAR,"MF,FW",Brighton,32,26,"2,120",5,1,6,0.254716981
Joe Gomez,eng ENG,DF,Liverpool,21,7,607,0,2,2,0.296540362
Nicolás González,es ESP,MF,Manchester City,25,17,"1,569",1,0,1,0.057361377
Anthony Gordon,eng ENG,FW,Newcastle,26,24,"1,795",6,2,8,0.401114206
Ryan Gravenberch,nl NED,MF,Liverpool,36,34,"2,992",5,3,8,0.240641711
Archie Gray,eng ENG,"MF,DF",Tottenham,24,18,"1,478",2,2,4,0.243572395
Jack Grealish,eng ENG,MF,Everton,20,18,"1,627",2,6,8,0.442532268
Pascal Groß,de GER,MF,Brighton,19,18,"1,636",1,3,4,0.2200489
Brajan Gruda,de GER,MF,Brighton,18,8,719,1,1,2,0.250347705
Ilia Gruev,bg BUL,MF,Leeds United,23,15,"1,323",0,3,3,0.204081633
Gabriel Gudmundsson,se SWE,"DF,MF",Leeds United,32,31,"2,631",0,0,0,0
Marc Guéhi,eng ENG,DF,Crystal Palace,20,20,"1,800",2,2,4,0.2
Marc Guéhi,eng ENG,DF,Manchester City,15,15,"1,350",1,1,2,0.133333333
Evann Guessand,ci CIV,MF,Aston Villa,13,6,588,0,1,1,0.153061224
Evann Guessand,ci CIV,MF,Crystal Palace,8,3,330,1,1,2,0.545454545
Idrissa Gueye,sn SEN,MF,Everton,25,25,"2,093",2,3,5,0.215002389
Luis Guilherme,br BRA,FW,West Ham,5,1,125,0,0,0,0
Bruno Guimarães,br BRA,MF,Newcastle,29,27,"2,453",9,5,14,0.513656747
Marc Guiu,es ESP,FW,Sunderland,2,0,15,0,0,0,0
Marc Guiu,es ESP,FW,Chelsea,8,1,257,0,1,1,0.350194553
Angus Gunn,sct SCO,GK,Nottingham,1,0,45,0,0,0,0
Malo Gusto,fr FRA,"DF,MF",Chelsea,34,26,"2,261",2,3,5,0.199026979
Joško Gvardiol,hr CRO,DF,Manchester City,18,16,"1,372",2,2,4,0.262390671
Viktor Gyökeres,se SWE,FW,Arsenal,36,26,"2,224",14,1,15,0.607014388
Erling Haaland,no NOR,FW,Manchester City,35,34,"2,953",27,8,35,1.066711818
Lewis Hall,eng ENG,DF,Newcastle,30,24,"2,181",1,1,2,0.082530949
Jack Harrison,eng ENG,FW,Leeds United,11,1,269,0,0,0,0
Quilindschy Hartman,nl NED,DF,Burnley,21,21,"1,825",0,5,5,0.246575342
Jorrel Hato,nl NED,DF,Chelsea,22,12,"1,148",0,0,0,0
Kai Havertz,de GER,"FW,MF",Arsenal,12,7,581,2,3,5,0.774526678
Ayden Heaven,eng ENG,DF,Manchester Utd,17,11,924,0,1,1,0.097402597
Jan Paul van Hecke,nl NED,DF,Brighton,36,36,"3,210",3,3,6,0.168224299
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,18,"1,446",2,2,4,0.248962656
George Hemmings,eng ENG,MF,Aston Villa,2,0,27,0,0,0,0
Dean Henderson,eng ENG,GK,Crystal Palace,37,37,"3,330",0,0,0,0
Jordan Henderson,eng ENG,MF,Brentford,32,22,"1,919",1,3,4,0.187597707
Rico Henry,jm JAM,DF,Brentford,25,14,"1,328",0,1,1,0.067771084
Mads Hermansen,dk DEN,GK,West Ham,18,18,"1,620",0,1,1,0.055555556
Aaron Hickey,sct SCO,"DF,MF",Brentford,21,8,691,0,0,0,0
James Hill,eng ENG,DF,Bournemouth,29,22,"2,106",0,3,3,0.128205128
Piero Hincapié,ec ECU,DF,Arsenal,25,20,"1,792",1,2,3,0.150669643
Jack Hinshelwood,eng ENG,MF,Brighton,27,20,"1,741",4,3,7,0.361860999
Ki-Jana Hoever,nl NED,"MF,DF",Wolves,8,6,425,0,0,0,0
Harry Howell,eng ENG,MF,Brighton,3,1,94,0,0,0,0
Callum Hudson-Odoi,eng ENG,MF,Nottingham,30,21,"1,841",3,4,7,0.342205323
Will Hughes,eng ENG,MF,Crystal Palace,31,19,"1,571",0,0,0,0
Trai Hume,nir NIR,"DF,MF",Sunderland,38,34,"3,036",2,1,3,0.088932806
Bashir Humphreys,eng ENG,"DF,MF",Burnley,20,17,"1,578",0,0,0,0
Omari Hutchinson,eng ENG,MF,Nottingham,31,17,"1,688",1,5,6,0.319905213
Igor,br BRA,DF,West Ham,4,1,105,0,0,0,0
Tim Iroegbunam,eng ENG,MF,Everton,29,17,"1,487",0,2,2,0.121049092
Andy Irving,sct SCO,MF,West Ham,7,2,158,0,0,0,0
Alexander Isak,se SWE,FW,Liverpool,14,8,699,3,1,4,0.515021459
Wilson Isidor,ht HAI,FW,Sunderland,32,11,"1,165",6,0,6,0.463519313
Alex Iwobi,ng NGA,MF,Fulham,29,29,"2,419",4,3,7,0.260438198
Daniel James,wls WAL,"FW,MF",Leeds United,19,6,559,0,0,0,0
Reece James,eng ENG,"DF,MF",Chelsea,29,20,"1,963",2,4,6,0.275089149
Vitaly Janelt,de GER,MF,Brentford,25,15,"1,443",1,4,5,0.311850312
Mathias Jensen,dk DEN,MF,Brentford,36,26,"2,247",3,1,4,0.160213618
Gabriel Jesus,br BRA,FW,Arsenal,14,3,429,3,0,3,0.629370629
Igor Jesus,br BRA,FW,Nottingham,37,28,"2,298",6,4,10,0.391644909
Álex Jiménez,es ESP,"DF,MF",Bournemouth,31,26,"2,317",1,0,1,0.038843332
Raúl Jiménez,mx MEX,FW,Fulham,36,27,"2,189",9,3,12,0.493375971
Jamaldeen Jimoh,eng ENG,MF,Aston Villa,1,0,9,0,0,0,0
João Pedro,br BRA,"FW,MF",Chelsea,35,31,"2,661",15,5,20,0.67643743
Joelinton,br BRA,MF,Newcastle,27,23,"1,951",2,1,3,0.138390569
John,br BRA,GK,Nottingham,5,5,437,0,0,0,0
Brennan Johnson,wls WAL,"MF,FW",Tottenham,16,6,610,2,0,2,0.295081967
Brennan Johnson,wls WAL,"MF,FW",Crystal Palace,18,13,"1,112",0,1,1,0.080935252
Sam Johnstone,eng ENG,GK,Wolves,12,12,"1,080",0,0,0,0
Curtis Jones,eng ENG,"MF,DF",Liverpool,34,18,"1,937",1,2,3,0.139390811
Eli Junior Kroupi,fr FRA,"MF,FW",Bournemouth,33,21,"1,672",13,0,13,0.699760766
Hamed Junior Traorè,ci CIV,MF,Bournemouth,1,0,17,0,1,1,5.294117647
James Justin,eng ENG,"DF,MF",Leeds United,29,21,"1,901",2,1,3,0.14203051
Filip Jørgensen,dk DEN,GK,Chelsea,5,3,379,0,0,0,0
Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,37,34,"3,133",1,0,1,0.02872646
Saša Kalajdžić,at AUT,"FW,MF",Wolves,1,0,15,0,0,0,0
Arnaud Kalimuendo,fr FRA,FW,Nottingham,9,0,96,0,0,0,0
Daichi Kamada,jp JPN,MF,Crystal Palace,28,22,"1,902",0,0,0,0
Boubacar Kamara,fr FRA,MF,Aston Villa,18,17,"1,411",1,3,4,0.2551382
Mohamadou Kanté,fr FRA,MF,West Ham,11,0,75,0,0,0,0
Michael Kayode,it ITA,DF,Brentford,37,37,"3,258",1,1,2,0.055248619
Michael Keane,eng ENG,DF,Everton,33,29,"2,591",3,1,4,0.138942493
Caoimhín Kelleher,ie IRL,GK,Brentford,37,37,"3,330",0,0,0,0
Milos Kerkez,hu HUN,DF,Liverpool,34,27,"2,257",2,1,3,0.119627825
Kevin,br BRA,MF,Fulham,26,9,"1,041",1,1,2,0.172910663
Abdukodir Khusanov,uz UZB,DF,Manchester City,21,15,"1,432",0,0,0,0
Max Kilman,eng ENG,DF,West Ham,21,17,"1,561",0,0,0,0
Joshua King,eng ENG,MF,Fulham,32,15,"1,308",1,2,3,0.206422018
Antonín Kinský,cz CZE,GK,Tottenham,7,7,630,0,0,0,0
